Species,v_cop_dur_mean,v_cop_dur_se,RI50,RI50_2,RI50_3,Monandry,remating_cop_dur_mean,remating_cop_dur_se,sperm_per_cop_mean,sperm_per_cop_se,ejection_time_mean,ejection_time_se,sp.l_mean,sp.l_se,SR.l_mean,SR.l_se,th.l.M_mean,th.l.M_se,th.w.M_mean,th.w.M_se,th.h.M_mean,th.h.M_se,th.l.F_mean,th.l.F_se,th.w.F_mean,th.w.F_se,th.h.F_mean,th.h.F_se,Ovariole_mean,Ovariole_se,egg_l_mean,egg_l_se,egg_w_mean,egg_w_se,egg_vol_mean,egg_vol_se,egg_vol_mean2,Sperm_storage_organ,testis.l_mean,testis.l_se,AG.area_mean,AG.area_se,Plug,insemination_rxn,male_dry_mass_mean,male_dry_mass_se,male_dry_testis_mean,male_dry_testis_se,mean_gsi,female_dry_mass_mean,female_dry_mass_se,male_wing_area_mean,male_wing_area_se,female_wing_area_mean,female_wing_area_se,number_appendage,app_l_mean,app_l_se,spth_duct_length_mean,spth_duct_length_se,capsule_length_mean,capsule_length_se,capsule_width_mean,capsule_width_se,introvert_mean,introvert_se,comment
C_procnemis,26.55,1.414644107,1,1,1,0,26.07692308,1.028201931,692.4,31.28833649,96,7.810249676,5.719766667,0.178806301,12.2108,1.362768263,0.985416667,0.006782842,0.683333333,0.005270463,0.908333333,0.008936504,0.9825,0.0075,0.6825,0.006373774,0.91,0.010752907,19.1,0.187082869,0.41635,0.003117248,0.1557,0.001681322,0.005297007,0.000120966,0.005284871,0,14.424,0.439314238,0.19,0.021633308,1,0,0.27398,0.00494999,0.02876,0.002017077,0.104971166,0.41096,0.020172471,1.3595,0.041969235,1.51175,0.024790371,10,0.0628,0.002428558,0.1378,0.009810199,0.169,0.001581139,0.1174,0.003264966,0.0994,0.005818935,
D_acutilabella,23.75,0.839528256,21,21,21,0,27.92307692,3.24523623,130.6,15.86694678,228,15.93737745,4.366208333,0.176672921,7.3792,0.212810338,1.0075,0.006373774,0.7725,0.00728869,0.955,0.015103807,1.1375,0.022008521,0.8025,0.010752907,1.0775,0.018285924,17.7,0.604152299,0.43405,0.006374899,0.1557,0.002539271,0.005546947,0.000202282,0.005509543,0,5.166,0.127738013,0.114666667,0.000666667,1,1,0.29492,0.012663665,0.00204,0.000478121,0.00691713,0.54108,0.012140939,1.4322,0.024636152,1.7986,0.018370084,4,0.360962963,0.01077198,0.1466,0.005455273,0.1344,0.003140064,0.1032,0.003891015,0.211,0.142256107,
D_affinis,3.85,0.366112635,7,7,7,0,6.363636364,0.452723622,,,,,0.51,0,1.1538,0.03720672,0.865,0.00728869,0.6275,0.008291562,0.85,0.016298006,0.9825,0.008477912,0.71,0.012747549,0.9275,0.008291562,14.2,0.254950976,0.43245,0.003987794,0.1723,0.002924578,0.006748687,0.000224505,0.006722102,0,0.904,0.03118226,0.056333333,0.004333333,1,0,0.15632,0.005029751,0.00572,0.00044317,0.036591607,0.20592,0.009819644,1.2294,0.03741203,1.5878,0.018540227,2,0.1923,0.004225867,0.1614,0.009410632,0.0466,0.007201389,0.063,0.009154234,0.0256,0.003249615,
D_albomicans,22.7,0.644702277,14,14,14,0,25.08333333,1.117751621,632.8,40.52456045,273.75,49.16036077,5.35,,6.809666667,0.132114513,1.249801587,0.041943243,0.8075,0.009354143,1.0475,0.013346348,1.428571429,0.005019488,0.825,0.016298006,1.1475,0.01,21.25,0.75,0.591,0.006569867,0.19475,0.002876287,0.01181603,0.000424475,0.011736566,0,5.708666667,0.20255068,0.282333333,0.017854349,1,0,0.48054,0.017397517,0.0148,0.00117601,0.030798685,0.86346,0.040370417,1.9018,0.061521866,2.2022,0.023337523,4,0.325294118,0.008390438,0.135833333,0.004077717,0.139833333,0.001887091,0.137833333,0.002372294,0.0505,0.001765408,
D_aldrichi,2.428571429,0.097249378,2,2,2,0,1.6,0.163299316,226.6,26.58495815,128.1818182,8.667408317,1.999286843,0.024050079,3.851,0.086174242,1.0225,0.012747549,0.76,0.009185587,0.975,0.01118034,1.135,0.019921722,0.7975,0.00728869,1.1025,0.016007811,23,0.353553391,0.4472,0.003855686,0.1454,0.001501578,0.004956428,0.000102504,0.004950274,1,2.282333333,0.094051995,0.926666667,0.100878365,1,1,0.37532,0.02093818,0.01606,0.004353688,0.042790152,0.47806,0.026771731,1.7768,0.021622673,2.0696,0.038520903,4,0.473289474,0.008437506,0.2342,0.010537552,,,,,,,non-melanized
D_americana,3.325,0.157657126,1,1,1,0,2.772727273,0.160246269,507.4,51.08483141,172.5,6.261353325,5.22,0.02,10.5392,0.525996901,1.09,0.010752907,0.75,0.008838835,1.0525,0.03122499,1.1475,0.0121192,0.8275,0.013346348,1.0925,0.031770663,19.9,0.430116263,0.62945,0.004512833,0.19655,0.001731253,0.012750019,0.000238437,0.012732273,0,7.679333333,0.136833638,0.253333333,0.020787282,1,0,0.43162,0.012225359,0.02824,0.003872415,0.065427923,0.56424,0.01777092,2.222,0.036670151,2.722,0.033609522,4,0.391730769,0.015105339,0.1392,0.005748043,0.1532,0.000969536,0.1206,0.00143527,0.1284,0.005035871,
D_ananassae,4.619047619,0.140318126,21,21,21,0,5.6,0.32071349,1118.2,54.85745164,,,2.267666667,0.026515991,4.5452,0.130246459,0.9425,0.011592023,0.69,0.004677072,0.9025,0.01,1.065,0.008291562,0.7775,0.0121192,0.9075,0.009354143,14.78571429,0.82272155,0.5349,0.00502148,0.1809,0.003065856,0.009203204,0.000307057,0.009165335,0,2.609333333,0.066308203,0.143,0.017097758,1,0,0.20052,0.005246084,0.00374,0.000698999,0.018651506,0.4039,0.018917558,1.6722,0.022136847,1.9304,0.018170305,2,0.410176471,0.009449259,0.152428571,0.004503211,0.098571429,0.000751416,0.058142857,0.000986301,0.210428571,0.118264203,
D_anceps,6.95,0.167752871,7,7,7,0,5.461538462,0.385895306,700,66.62507036,289.5,9.5,1.53,0.01,4.3274,0.100099251,1.193650794,0.018374344,0.787301587,0.012895299,1.104761905,0.021057935,1.304761905,0.013654485,0.911111111,0.008093682,1.250793651,0.005939139,29.3,0.8,0.43295,0.003381431,0.1476,0.002341165,0.004953201,0.000145805,0.004938659,1,2.5,0.028536526,0.377,0.005567764,1,0,0.4253,0.024432028,0.01566,0.00056,0.036821067,0.96674,0.055490897,2.2462,0.124548545,3.0246,0.052608554,4,0.333975,0.003895672,0.1672,0.002497999,,,,,,,non-melanized
D_anomalata,3.72,0.103174115,14,14,14,0,4,0.209656967,671.4,34.78160433,229.44,9.579227526,3.212861111,0.062907945,4.9472,0.130661165,0.7525,0.018285924,0.69,0.026634095,0.8825,0.03127499,0.8575,0.01879162,0.735,0.015512092,0.84,0.012747549,13.125,0.875,0.49135,0.002886698,0.1754,0.002932037,0.007970719,0.000286132,0.007914961,0,3.885333333,0.027882691,0.149333333,0.014768585,1,1,0.1421,0.00753545,0.00728,0.00069527,0.051231527,0.15234,0.017438366,0.929,0.024787093,1.1348,0.044151331,2,0.269666667,0.007750606,0.1675,0.013003205,0.10275,0.002015564,0.07475,0.000946485,0.09525,0.00275,
D_anomelani,7.8,0.599439514,7,7,7,0,7.916666667,0.583333333,891.4,52.30640496,354.375,33.53353199,2.608444444,0.069924386,3.0532,0.076505163,0.8375,0.016298006,0.6175,0.008477912,0.6725,0.019121323,0.955,0.008477912,0.69,0.012747549,0.905,0.012869538,14.8,0.7,0.62385,0.004565474,0.19545,0.002020259,0.012488131,0.00023281,0.012478149,1,2.815666667,0.222043039,0.2,0.006110101,1,1,0.1989,0.013032421,0.00392,0.000708802,0.019708396,0.20252,0.002818759,1.1118,0.026019992,1.352,0.025197222,2,0.538230769,0.013625632,0.1314,0.021292252,0.0622,0.001529706,0.0524,0.001805547,,,non-melanized
