Species,th.len.m,th.len.m_se,th.wid.m,th.wid.m_se,th.hei.m,th.hei.m_se,th.vol.m,th.vol.m_se,wing.area.m,wing.area.m_se,resid.th.vol.m,wing.loading.m,tot.dry.mass.m,tot.dry.mass.m_se,sp.total.len,sp.total.len_se,testis.len,testis.len_se,agland.area,agland.area_se,resid.agland.area,rank.res.ag.area,eb.extn_bin,eb.extn.branched_bin,eb.extn.len,eb.extn.len_se,eb.area,eb.area_se,resid.eb.area,rank.res.eb.area,dry.testis.mass,dry.testis.mass_se,resid.testis.mass,rank.res.testis.mass,TRI.m.weighted,TRI.m.unweighted,sperm.per.cop,sperm.per.cop_se,th.len.f,th.len.f_se,th.wid.f,th.wid.f_se,th.hei.f,th.hei.f_se,th.vol.f,th.vol.f_se,resid.th.vol.f,wing.area.f,wing.area.f_se,wing.loading.f,tot.dry.mass.f,tot.dry.mass.f_se,sr.len,sr.len_se,ovariole.no,ovariole.no_se,egg.len,egg.len_se,egg.wid.mean,egg.w_se,egg.asp.ratio,egg.vol,egg.vol_se,chor.app.no,chor.app.len,app.len_se,spth.duct.len,spth.duct.len_se,spth.cap.len,spth.cap.len_se,spth.cap.wid,spth.cap.wid_se,spth.cap.vol,spth.cap.vol_se,spth.int.len,spth.int.len_se,spth.melanized_bin,sp.sotrage_bin,virgin.cop.dur,virgin.cop.dur_se,remating.int.50,monandry_bin,remating.cop.dur,remating.cop.dur_se,re.vir.cop.diff,sp.eject_bin,sp.eject.time,sp.eject.time_se,plug_bin,insemin.rxn_bin,Age.reproductive.maturity.f,Age.reproductive.maturity.m,std.aging.rate.f,std.aging.rate.m,life.expectancy.f,life.expectancy.m,net.repro.output,early.repro.output,std.sex.siz.diff,std.aging.rate.bias,life.expectancy.bias,anisogamy,OSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_procnemis,0.985,0.007,0.683,0.005,0.908,0.009,0.612,0.003,1.360,0.042,-0.053,-0.090,0.274,0.005,5.720,0.179,14.424,0.439,0.190,0.022,-0.112,83,0,0,0,0,0.033,0.003,-0.145,96,0.029,0.002,0.735,2,45.1,181,692.400,31.288,0.983,0.008,0.683,0.006,0.910,0.011,0.610,0.003,-0.364,1.512,0.025,-0.220,0.411,0.020,12.211,1.363,38.200,0.374,0.416,0.003,0.156,0.002,2.674,0.005,0.000,10.000,0.063,0.002,0.138,0.010,0.169,0.002,0.117,0.003,0.002,0.000,0.099,0.006,1,0,26.550,1.415,1.000,0,26.077,1.028,0.982,1,96.000,7.810,1,0,4.000,3.000,5.000,4.390,86.947,122.764,166.000,44.000,-0.002,0.612,-0.498,0.000,-0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_acutilabella,1.008,0.006,0.773,0.007,0.955,0.015,0.743,0.005,1.432,0.025,0.083,-0.073,0.295,0.013,4.366,0.177,5.166,0.128,0.115,0.001,-0.699,135,1,1,0.838333333,0.02136196,0.101,0.007,0.882,24,0.002,0.000,-1.999,149,119.8,308,130.600,15.867,1.138,0.022,0.803,0.011,1.078,0.018,0.984,0.010,-0.049,1.799,0.018,-0.132,0.541,0.012,7.379,0.213,35.400,1.208,0.434,0.006,0.156,0.003,2.788,0.006,0.000,4.000,0.361,0.011,0.147,0.005,0.134,0.003,0.103,0.004,0.000,0.000,0.211,0.142,1,0,23.750,0.840,21.000,0,27.923,3.245,1.176,1,228.000,15.937,1,1,4.000,4.000,1.760,1.710,9.344,11.576,69.000,25.000,0.278,0.052,-0.309,0.000,2.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_affinis,0.865,0.007,0.628,0.008,0.850,0.016,0.461,0.004,1.229,0.037,0.116,0.076,0.156,0.005,0.510,,0.904,0.031,0.056,0.004,-1.209,148,0,0,0,0,0.018,0.002,-0.606,117,0.006,0.000,-0.209,67,101.3,332,7012.000,570.538,0.983,0.008,0.710,0.013,0.928,0.008,0.647,0.005,0.104,1.588,0.019,0.043,0.206,0.010,1.154,0.037,28.400,0.510,0.432,0.004,0.172,0.003,2.510,0.007,0.000,2.000,0.192,0.004,0.161,0.009,0.047,0.007,0.063,0.009,0.000,0.000,0.026,0.003,1,0,3.850,0.366,7.000,0,6.364,0.453,1.653,1,600.000,,1,0,4.000,2.000,2.540,1.980,73.782,135.774,51.000,29.000,0.335,0.559,-0.880,0.004,1.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_albomicans,1.250,0.042,0.808,0.009,1.048,0.013,1.057,0.013,1.902,0.062,0.043,-0.022,0.481,0.017,5.350,,5.709,0.203,0.282,0.018,0.054,65,1,1,0.710333333,0.035557465,0.079,0.006,0.483,45,0.015,0.001,-0.601,100,78.5,210,632.800,40.525,1.429,0.005,0.825,0.016,1.148,0.010,1.352,0.010,-0.008,2.202,0.023,-0.074,0.863,0.040,6.810,0.132,42.500,1.500,0.591,0.007,0.195,0.003,3.035,0.012,0.000,4.000,0.325,0.008,0.136,0.005,0.133,0.002,0.129,0.001,0.002,0.000,0.121,0.002,1,0,22.700,0.645,14.000,0,25.083,1.118,1.105,1,273.750,49.160,1,0,4.000,5.000,3.930,4.220,55.969,21.319,343.000,122.000,0.245,-0.294,1.393,0.001,4.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_aldrichi,1.023,0.013,0.760,0.009,0.975,0.011,0.758,0.005,1.777,0.022,-0.091,0.028,0.375,0.021,1.999,0.024,2.282,0.094,0.927,0.101,1.382,1,0,0,0,0,0.046,0.003,0.090,74,0.016,0.004,-0.224,69,49.6,144,226.600,26.585,1.135,0.020,0.798,0.007,1.103,0.016,0.998,0.008,0.038,2.070,0.039,0.047,0.478,0.027,3.851,0.086,46.000,0.707,0.447,0.004,0.145,0.002,3.076,0.005,0.000,4.000,0.473,0.008,0.234,0.011,0.120,0.077,0.180,0.086,0.012,0.011,0.131,0.065,0,1,2.429,0.097,2.000,0,1.600,0.163,0.659,1,128.182,8.667,1,1,5.000,5.000,4.560,4.340,88.499,100.969,261.000,122.000,0.274,0.223,-0.190,0.001,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_americana,1.090,0.011,0.750,0.009,1.053,0.031,0.860,0.010,2.222,0.037,-0.076,0.185,0.432,0.012,5.220,0.020,7.679,0.137,0.253,0.021,0.032,70,0,0,0,0,0.070,0.005,0.458,47,0.028,0.004,0.173,28,44.4,145,507.400,51.085,1.148,0.012,0.828,0.013,1.093,0.032,1.037,0.012,-0.021,2.722,0.034,0.270,0.564,0.018,10.539,0.526,39.800,0.860,0.629,0.005,0.197,0.002,3.202,0.013,0.000,4.000,0.392,0.015,0.139,0.006,0.153,0.001,0.121,0.001,0.002,0.000,0.128,0.005,1,0,3.325,0.158,1.000,0,2.773,0.160,0.834,1,172.500,6.261,1,0,4.000,6.000,6.840,7.360,162.468,74.097,937.000,155.000,0.187,-0.518,1.133,0.001,1.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_ananassae,0.943,0.012,0.690,0.005,0.903,0.010,0.587,0.003,1.672,0.022,0.157,0.265,0.201,0.005,2.268,0.027,2.609,0.066,0.143,0.017,-0.379,117,0,0,0,0,0.038,0.001,0.005,84,0.004,0.001,-0.932,131,117.4,332,1118.200,54.857,1.065,0.008,0.778,0.012,0.908,0.009,0.751,0.005,-0.145,1.930,0.018,0.030,0.404,0.019,4.545,0.130,29.571,1.645,0.535,0.005,0.181,0.003,2.957,0.009,0.000,2.000,0.410,0.009,0.152,0.005,0.099,0.001,0.058,0.001,0.000,0.000,0.210,0.118,1,0,4.619,0.140,21.000,0,5.600,0.321,1.212,1,600.000,,1,0,4.000,4.000,3.380,3.470,63.331,53.485,165.000,30.000,0.246,-0.090,0.244,0.001,3.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_anceps,1.194,0.018,0.787,0.013,1.105,0.021,1.038,0.010,2.246,0.125,0.123,0.203,0.425,0.024,1.530,0.010,2.500,0.029,0.377,0.006,0.351,31,0,0,0,0,0.067,0.003,0.329,60,0.016,0.001,-0.399,87,64.8,178,700.000,66.625,1.305,0.014,0.911,0.008,1.251,0.006,1.487,0.007,0.020,3.025,0.053,0.208,0.967,0.055,4.327,0.100,58.600,1.600,0.433,0.003,0.148,0.002,2.933,0.005,0.000,4.000,0.334,0.004,0.167,0.002,0.037,0.001,0.032,0.001,0.000,0.000,,,0,1,6.950,0.168,7.000,0,5.462,0.386,0.786,1,289.500,9.500,1,0,5.000,3.000,3.030,2.610,80.749,218.083,263.000,87.000,0.355,0.417,-1.433,0.001,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_anomalata,0.753,0.018,0.690,0.027,0.883,0.031,0.458,0.009,0.929,0.025,0.186,-0.159,0.142,0.008,3.213,0.063,3.885,0.028,0.149,0.015,-0.232,95,0,0,0,0,0.040,0.003,0.177,71,0.007,0.001,0.146,29,57.2,195,671.400,34.782,0.858,0.019,0.735,0.016,0.840,0.013,0.529,0.006,0.082,1.135,0.044,-0.199,0.152,0.017,4.947,0.131,26.250,1.750,0.491,0.003,0.175,0.003,2.801,0.008,0.000,2.000,0.270,0.008,0.168,0.013,0.103,0.002,0.075,0.001,0.000,0.000,0.095,0.003,1,0,3.720,0.103,14.000,0,4.000,0.210,1.075,1,229.440,9.579,1,1,4.000,4.000,4.850,4.890,139.845,138.479,434.000,138.000,0.144,-0.039,0.014,0.001,2.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_anomelani,0.838,0.016,0.618,0.008,0.673,0.019,0.348,0.004,1.112,0.026,-0.360,-0.139,0.199,0.013,2.608,0.070,2.816,0.222,0.200,0.006,0.176,49,0,0,0,0,0.029,0.001,-0.009,85,0.004,0.001,-0.875,127,95.2,261,891.400,52.306,0.955,0.008,0.690,0.013,0.905,0.013,0.596,0.005,0.033,1.352,0.025,-0.112,0.203,0.003,3.053,0.077,29.600,1.400,0.624,0.005,0.195,0.002,3.192,0.012,0.000,2.000,0.538,0.014,0.131,0.021,0.062,0.002,0.052,0.002,0.000,0.000,,,0,1,7.800,0.599,7.000,0,7.917,0.583,1.015,1,354.375,33.534,1,1,4.000,4.000,5.740,5.670,48.302,46.118,60.000,3.000,0.527,0.073,0.067,0.002,2.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_arawakana,0.883,0.011,0.648,0.008,0.875,0.011,0.500,0.004,1.162,0.033,-0.328,-0.291,0.300,0.007,2.293,0.088,3.120,0.079,0.055,0.003,-1.267,149,1,1,0.691,0.071895758,0.091,0.006,0.961,22,0.003,0.001,-1.603,147,122.6,318,883.200,37.807,0.965,0.014,0.710,0.013,0.925,0.018,0.634,0.007,-0.401,1.423,0.033,-0.320,0.466,0.009,4.340,0.159,30.400,0.400,0.472,0.004,0.163,0.002,2.892,0.007,0.000,4.000,0.418,0.008,0.135,0.017,0.094,0.003,0.089,0.002,0.001,0.000,0.040,0.001,1,0,31.436,1.856,35.000,1,,,0.000,0,,,1,1,4.000,4.000,3.750,3.630,45.914,50.141,110.000,51.000,0.236,0.123,-0.127,0.001,3.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_arizonae,0.840,0.022,0.595,0.016,0.790,0.026,0.395,0.007,1.215,0.050,-0.093,0.033,0.167,0.011,1.520,0.010,2.221,0.059,0.258,0.016,0.378,29,0,0,0,0,0.021,0.002,-0.400,113,0.008,0.001,0.009,44,53.3,186,1207.000,66.819,0.978,0.027,0.733,0.016,0.943,0.034,0.675,0.011,-0.052,1.514,0.064,-0.108,0.288,0.031,4.568,0.162,23.800,1.319,0.419,0.003,0.164,0.002,2.548,0.006,0.000,4.000,0.427,0.008,0.189,0.018,0.044,0.001,0.030,0.001,0.000,0.000,0.023,0.001,0,1,1.366,0.076,4.000,0,1.846,0.191,1.352,1,423.333,5.465,1,1,3.000,4.000,3.440,3.370,95.182,102.740,338.000,197.000,0.524,0.071,-0.110,0.001,1.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_atripex,0.868,0.016,0.745,0.031,1.080,0.030,0.698,0.012,1.150,0.003,0.320,-0.115,0.203,0.007,2.557,0.010,3.038,0.293,0.251,0.031,0.111,61,0,0,0,0,0.039,0.001,-0.046,87,0.004,0.000,-0.766,118,94.7,266,435.600,39.868,1.053,0.025,0.810,0.024,0.990,0.026,0.844,0.013,0.095,1.527,0.014,-0.140,0.327,0.012,3.111,0.058,23.250,0.479,0.517,0.004,0.177,0.001,2.925,0.008,0.000,2.000,0.376,0.009,0.190,0.007,0.075,0.003,0.068,0.001,0.000,0.000,0.066,0.002,1,0,2.350,0.122,1.000,0,1.700,0.213,0.723,1,600.000,,1,0,4.000,3.000,5.120,5.360,96.806,89.359,290.000,45.000,0.189,-0.245,0.115,0.001,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
